size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,234626.206897,5715.937487,235974,58993.533764,234315.310345,2488.047292,235602,58900.739951
8000,8K,238829.793103,7084.67568,238860,59715.152323,238466.758621,3111.468776,238517,59629.358043
16000,16K,269212.965517,6702.143863,269723,67430.904606,268921.62069,2346.721491,269327,67331.844544
32000,32K,280215.724138,7556.923377,279978,69994.533698,279793.103448,2037.069472,279661,69915.272315
64000,64K,197561.103448,12215.488594,197068,49267.182188,197306.206897,2724.278144,196742,49185.587627
128000,128K,216293.793103,12001.934653,216409,54102.326512,215938.206897,2363.485313,216165,54041.330578
256000,256K,241628.689655,10845.474515,241185,60296.313579,241241.931034,2167.766979,240872,60218.118792
512000,512K,236316.137931,11096.234158,236058,59014.732351,235979.034483,2248.625485,235694,58923.605093
1000000,1M,231136.827586,11492.310617,230865,57716.485568,230860.413793,2236.571912,230517,57629.491367
2000000,2M,220629.241379,11678.381371,219835,54958.936071,220286.896552,2433.546204,219555,54888.940737
4000000,4M,201291.37931,13080.852661,201256,50314.024797,201022.689655,2516.270969,200858,50214.638048
8000000,8M,203207.448276,12894.809772,203237,50809.358752,202893.793103,2555.702918,202863,50715.971204
16000000,16M,255044.137931,9555.697124,253310,63327.535652,254622.896552,2402.034439,253008,63252.03252
